target_slide,reference_title,source_section_or_action,required_action
1,Wendy Wu Tours,"{{client_display_name}} | Quarterly PPC Performance Report + Overall Quarter Summary","Update title and metadata to {{client_display_name}} {{period_label}}. Use headline KPIs from Overall Quarter Summary: Sales Leads {{headline_sales_leads}}; Cost {{headline_cost}}; CPL {{headline_cpl}}; CVR {{headline_cvr}}."
2,Google Trends,"Divider","Keep divider layout. Update footer/subtitle to {{client_display_name}} | {{quarter_short}} | Summon."
3,Wendy Wu Tours Terms Are Growing,"{{client_display_name}} Terms Are Growing","Replace title/period/footer/source/commentary. Use Google Trends brand trend bullets exactly from report.txt. Replace trend chart/image with the current YTD vs previous YTD chart when both series exist."
4,Japan Demand Trend,"Japan Demand Trend","Replace title/period/footer/source/commentary. Use Japan trend bullets exactly from report.txt. Replace trend chart/image with the current YTD vs previous YTD chart when both series exist."
5,China Demand Trend,"China Demand Trend","Replace title/period/footer/source/commentary. Use China trend bullets exactly from report.txt. Replace trend chart/image with the current YTD vs previous YTD chart when both series exist."
6,Performance,"Divider","Keep divider layout. Update subtitle to {{client_display_name}} | {{quarter_short}} | Summon."
7,Overall Performance Trend,"Overall Quarter Summary + Overall Performance Trend","Update KPI blocks, YoY values, commentary, and monthly trend chart using source data. Use six KPI layout from reference. Do not leave old numbers."
8,Campaign Type Mix,"Campaign Type Mix","Update commentary and chart/table visuals. Include all campaign type rows from report.txt."
9,Brand Summary,"Brand Summary","Update KPI blocks, YoY values, table, and bullets from Brand Summary. For KPI/table values, use the Key Metrics and Total row as authoritative."
10,Brand Monthly Trend,"Brand Monthly Trend","Replace chart/image slot with current-period monthly trend chart."
11,Generic Summary,"Generic Summary","Update KPI blocks, YoY values, table, and bullets from Generic Summary. For KPI/table values, use the Key Metrics and Total row as authoritative."
12,Generic Monthly Trend,"Generic Monthly Trend","Replace chart/image slot with current-period monthly trend chart."
13,Performance Max Summary,"Performance Max Summary","Update KPI blocks, YoY values, table, and bullets from Performance Max Summary. For KPI/table values, use the Key Metrics and Total row as authoritative."
14,Performance Max Monthly Trend,"Performance Max Monthly Trend","Replace chart/image slot with current-period monthly trend chart."
15,Demand Gen Summary,"Demand Gen Summary","Update KPI blocks, YoY values, table, and bullets from Demand Gen Summary."
16,Demand Gen Monthly Trend,"Demand Gen Monthly Trend","Replace chart/image slot with current-period monthly trend chart."
17,Destinations,"Divider","Keep divider layout. Update subtitle to {{client_display_name}} | {{quarter_short}} | Summon."
18,China Summary + YoY,"China Summary + YoY + China Campaign Mix","Update KPI blocks, YoY values, commentary bullets, and campaign mix table on the same slide. Use destination China data. Preserve inline YoY in the Cost, Sales Leads, Cost Share, Lead Share, and CPL table cells."
19,China Monthly Trend,"China Monthly Trend","Replace chart/image slot with current-period China monthly trend chart."
20,Japan Summary + YoY,"Japan Summary + YoY + Japan Campaign Mix","Update KPI blocks, YoY values, commentary bullets, and campaign mix table on the same slide. Use destination Japan data. Preserve inline YoY in the Cost, Sales Leads, Cost Share, Lead Share, and CPL table cells."
21,Japan Monthly Trend,"Japan Monthly Trend","Replace chart/image slot with current-period Japan monthly trend chart."
22,SE Asia Summary + YoY,"SE Asia Summary + YoY + SE Asia Campaign Mix","Update KPI blocks, YoY values, commentary bullets, and campaign mix table on the same slide. Use destination SE Asia data. Preserve inline YoY in the Cost, Sales Leads, Cost Share, Lead Share, and CPL table cells."
23,SE Asia Monthly Trend,"SE Asia Monthly Trend","Replace chart/image slot with current-period SE Asia monthly trend chart."
24,India Summary + YoY,"India Summary + YoY + India Campaign Mix","Update KPI blocks, YoY values, commentary bullets, and campaign mix table on the same slide. Use destination India data. Preserve inline YoY in the Cost, Sales Leads, Cost Share, Lead Share, and CPL table cells."
25,India Monthly Trend,"India Monthly Trend","Replace chart/image slot with current-period India monthly trend chart."
26,Other (Destination) Summary + YoY,"Other Summary + YoY + Other Monthly Trend","Update destination Other KPI blocks, YoY values, commentary, and table. Use destination Other section, not the Performance channel Other section."
27,Other (Destination) Top 10 campaigns,"Other Campaign Mix","Use Other top-campaign data only when the report includes the uploaded Google/MS campaign export section. Use the exact Other exclusion list stated in report.txt. If top-10 campaign data is unavailable, replace this with Other Destination Campaign Mix using the campaign mix table from report.txt. Preserve visual style."
28,Auction Insights,"Divider","Keep divider layout. Update subtitle to {{client_display_name}} | {{quarter_short}} | Summon."
29,Non-Brand Auction Insights,"Brand coverage is very strong","Update title if needed, bullets, table, and chart/table styling using Auction Insights source data. Remove all old competitor/table content."
30,Testing,"Manual placeholder divider","Keep divider layout. Update period/subtitle to {{period_label}}. This section needs human input unless source data is provided."
31,Testing slide,"Manual placeholder","Replace old test content with a clear placeholder: Review required - Testing section to be completed by account team. Preserve slide visual structure."
32,Testing slide,"Manual placeholder","Replace old test content with a clear placeholder: Review required - Testing section to be completed by account team. Preserve slide visual structure."
33,Other Updates,"Manual placeholder divider","Keep divider layout. Update period/subtitle to {{period_label}}. This section needs human input unless source data is provided."
34,Other Updates slide,"Manual placeholder","Replace old update content with a clear placeholder: Review required - Other Updates to be completed by account team. Preserve slide visual structure."
35,Next Steps,"Divider","Keep divider layout. Update subtitle to {{client_display_name}} | {{quarter_short}} | Summon."
36,Next Steps for Current Quarter,"Recommendations / Next Steps","Use source Recommendations / Next Steps content. Split into concise next-step cards in existing style. Preserve exact meaning and numbers."
37,Next Steps for Current Quarter,"Recommendations / Next Steps or manual continuation","Use remaining recommendations if content overflows. If not needed, leave a visually consistent placeholder for additional client/team next steps."
38,Thank You,"Title/footer update","Update to {{client_display_name}} | {{quarter_short}} PPC Report; Prepared by Summon; footer {{quarter_short}} | Summon Digital | Confidential."
